ID,SID,Gender,Vowel,Condition,Rating
2,f5,female,a,anchor,24
2,f5,female,a,harmonic,100
2,f5,female,a,reference,78
2,m2,male,a,anchor,63
2,m2,male,a,reference,100
2,m2,male,a,estimated,76
2,m2,male,a,harmonic,100
2,m2,male,a,synthesized,21
2,m1,male,o,reference,63
2,m1,male,o,synthesized,0
2,m1,male,o,anchor,81
2,m1,male,o,harmonic,96
2,m1,male,o,estimated,40
2,f1,female,i,reference,100
2,f1,female,i,harmonic,76
2,f1,female,i,anchor,21
2,f1,female,i,estimated,44
2,f1,female,i,synthesized,15
2,m4,male,o,harmonic,22
2,m4,male,o,reference,100
2,m4,male,o,anchor,39
2,m4,male,o,estimated,0
2,m4,male,o,synthesized,26
2,f6,female,a,reference,81
2,f6,female,a,anchor,100
2,f6,female,a,synthesized,38
2,f6,female,a,harmonic,61
2,f6,female,a,estimated,58
2,f5,female,i,estimated,100
2,f5,female,i,synthesized,100
2,f5,female,i,anchor,60
2,f5,female,i,harmonic,100
2,f5,female,i,reference,100
2,f8,female,i,reference,100
2,f8,female,i,estimated,100
2,f8,female,i,anchor,61
2,f8,female,i,harmonic,100
2,f8,female,i,synthesized,29
2,m5,male,i,harmonic,100
2,m5,male,i,estimated,29
2,m5,male,i,synthesized,28
2,m5,male,i,anchor,44
2,m5,male,i,reference,41
2,m8,male,o,synthesized,100
2,m8,male,o,anchor,54
2,m8,male,o,reference,76
2,m8,male,o,harmonic,81
2,m8,male,o,estimated,100
2,m5,male,a,anchor,100
2,m5,male,a,estimated,100
2,m5,male,a,synthesized,100
2,m5,male,a,reference,100
2,m5,male,a,harmonic,100
2,f4,female,a,anchor,82
2,f4,female,a,synthesized,82
2,f4,female,a,estimated,87
2,f4,female,a,reference,79
2,f4,female,a,harmonic,63
2,m1,male,a,synthesized,100
2,m1,male,a,reference,23
2,m1,male,a,harmonic,48
2,m1,male,a,estimated,67
2,m1,male,a,anchor,78
2,m2,male,i,synthesized,100
2,m2,male,i,reference,100
