ID,SID,Vowel,Gender,Roughness,Breathiness,Brightness,Naturalness
5,m5,a,male,-2,-3,-2,-3
5,m1,i,male,-2,-2,-3,-3
5,m1,o,male,-3,-2,-2,-4
5,m5,o,male,-3,-2,-3,-4
5,f5,a,female,-2,-2,-2,-3
5,f6,i,female,-1,-2,-2,-3
5,f6,a,female,-3,-3,-3,-3
5,m4,a,male,-2,-2,-3,-4
5,f5,o,female,-1,-2,-1,-2
5,f1,a,female,-1,-2,-2,-1
5,m2,o,male,-1,-2,-2,-2
5,m2,i,male,-2,-3,-2,-3
5,f4,a,female,-2,-3,-3,-4
5,f4,i,female,-2,-4,-3,-4
6,m4,a,male,2,-2,-3,-3
6,f8,o,female,3,-3,-3,-4
6,f6,a,female,4,-1,-1,-4
6,f6,i,female,3,-2,-3,-3
6,m1,a,male,4,0,-3,-3
6,f5,a,female,3,-1,-4,-3
6,m2,i,male,3,0,-3,-3
6,m2,a,male,2,0,-2,-4
6,m2,o,male,4,-1,-2,-4
6,f4,a,female,3,-1,-3,-3
6,m5,i,male,3,-2,-1,-4
6,f8,i,female,2,0,-1,-2
6,f5,o,female,0,-2,-3,-1
6,m4,i,male,4,-1,-2,-4
6,f4,o,female,1,-2,-3,-2
6,f8,a,female,3,-3,-2,-3
6,m1,i,male,3,-2,-3,-3
6,f1,o,female,3,-2,-2,-3
6,m8,o,male,2,-2,-2,-2
6,f4,i,female,3,-2,0,-3
6,f1,a,female,3,-2,-2,-2
6,f1,i,female,4,-2,-1,-4
6,f6,o,female,2,-1,-2,-2
6,m5,o,male,3,-2,-2,-3
6,m4,o,male,4,-2,-1,-4
6,m1,o,male,4,0,-1,-4
6,m5,a,male,3,-1,-3,-3
6,m8,i,male,2,0,-2,-2
6,m8,a,male,0,0,-2,-3
6,f5,i,female,2,-1,-3,-3
7,m1,a,male,2,0,-2,-1
7,f1,i,female,-2,-1,-3,-1
7,m8,i,male,-3,-2,-3,-2
7,m8,a,male,-1,0,-3,-2
7,f4,a,female,0,0,0,-1
7,f8,i,female,-1,-2,-3,-3
7,f5,i,female,0,-2,-1,-2
7,f4,i,female,2,0,-2,-4
7,f5,a,female,-2,-2,-2,-3
7,m2,a,male,-1,-2,0,-2
7,f6,o,female,-2,-1,-2,-1
7,m5,a,male,-2,-1,-1,-1
7,f1,a,female,-2,-2,-2,-2
7,m4,o,male,-2,-2,-4,-4
7,m4,i,male,-1,-2,-3,-4
7,f1,o,female,0,0,-1,-3
7,f6,a,female,1,-1,-2,-1
7,m4,a,male,3,-2,-1,-3
7,f6,i,female,0,1,0,-1
7,m2,o,male,2,-2,-2,-4
7,m2,i,male,1,-1,-2,-2
7,m8,o,male,0,-2,-2,-2
7,f8,o,female,2,-2,-1,-1
7,m5,i,male,2,-2,-1,-2
7,f8,a,female,-1,-1,-2,-2
7,m1,o,male,-1,-2,-3,-3
7,f5,o,female,-1,-2,-1,-1
7,f4,o,female,-1,-1,-2,-3
7,m1,i,male,3,-1,-2,-3
7,m5,o,male,-1,-1,-3,-2
8,m8,o,male,2,0,-2,-1
8,m1,o,male,1,-2,-2,-4
8,f6,o,female,0,-3,2,0
8,f5,o,female,2,2,0,1
8,m2,i,male,2,-1,-3,-3
8,f5,a,female,1,-2,-2,-1
8,m1,i,male,2,-1,-2,-2
8,f4,o,female,2,1,-1,-2
8,m5,o,male,3,2,-2,-3
8,f4,i,female,3,-1,0,-4
8,m4,o,male,4,0,-3,-4
8,f6,a,female,1,-1,-2,-1
8,m5,i,male,0,-1,-1,-2
8,f8,i,female,1,-2,-1,-2
8,f8,a,female,0,1,-2,-3
8,m8,i,male,0,1,-1,-2
8,m4,a,male,1,0,-1,-2
8,m2,a,male,1,0,-1,-2
8,f5,i,female,1,0,0,-1
8,f6,i,female,1,1,0,-1
8,f1,i,female,0,1,-1,-4
8,f8,o,female,1,1,-1,-3
8,f1,o,female,0,-2,-2,-2
8,m4,i,male,0,0,-2,-3
8,m2,o,male,2,1,-1,-3
8,f4,a,female,1,-1,0,-3
8,m5,a,male,-1,1,-1,-2
8,m1,a,male,2,0,-1,-3
8,m8,a,male,1,1,-1,0
8,f1,a,female,0,-2,-2,-1
9,m1,i,male,2,-1,-1,-3
9,f8,i,female,0,-2,-2,-3
9,m4,i,male,0,-2,1,-2
9,f4,i,female,0,-2,0,-2
9,m8,a,male,-1,-1,-3,-2
9,m2,a,male,2,0,-2,-4
9,f5,i,female,1,1,0,-1
9,m5,a,male,-1,-2,-2,-4
9,f6,a,female,-1,-1,0,-4
9,f8,o,female,-1,-1,-2,-4
9,f1,a,female,0,-1,0,-4
9,f5,o,female,0,-1,-1,-2
9,f4,a,female,-1,-1,-2,-4
9,m2,i,male,0,-2,0,-4
9,m4,a,male,2,-1,1,-4
9,f1,i,female,0,-2,-2,-3
9,m4,o,male,-3,-2,-3,-4
9,f1,o,female,-2,-1,3,2
9,f4,o,female,-1,-1,4,-2
9,m1,a,male,0,1,-1,-4
9,m8,o,male,0,-1,-3,-4
9,f6,i,female,0,-1,-1,-1
9,f8,a,female,-1,-2,-2,-4
9,f5,a,female,0,-2,0,-2
9,f6,o,female,0,0,-2,-3
9,m2,o,male,2,-1,0,-4
9,m5,i,male,-3,-2,-2,-4
9,m1,o,male,0,-2,-1,-4
9,m8,i,male,-2,-1,0,-4
9,m5,o,male,-2,-2,-3,-4
10,m4,a,male,-3,-1,-2,-3
10,f5,i,female,3,-1,-2,-2
10,f5,o,female,-2,-2,-2,-2
10,m1,a,male,3,-2,-3,-3
10,m2,a,male,2,-2,-2,-2
10,m5,a,male,-2,4,3,3
10,m4,i,male,-2,-1,-3,-2
10,f5,a,female,2,-2,-3,0
10,m1,i,male,-1,-1,-3,-3
10,m1,o,male,-1,-3,-3,-3
10,f4,a,female,-1,-3,-2,-3
10,f1,o,female,-1,-3,-3,-2
10,f6,a,female,-1,-3,-3,-3
10,m8,a,male,1,-2,-2,-2
10,f4,o,female,-1,-1,-3,-3
10,f6,o,female,-1,-1,-3,-3
10,f6,i,female,0,-1,-2,-3
10,f8,a,female,1,-3,-2,-3
10,f8,i,female,0,-3,-3,-3
10,f1,i,female,0,-2,-2,-3
10,f8,o,female,0,-1,-2,-2
10,m2,i,male,2,-1,-1,-1
10,m5,o,male,2,-2,2,-1
10,m2,o,male,-1,-1,-2,-2
10,m5,i,male,-1,-3,-2,-3
10,m8,i,male,0,-1,-2,-2
10,m4,o,male,-3,-3,-2,-3
10,m8,o,male,-1,-2,-2,-2
10,f4,i,female,0,-1,-2,-3
10,f1,a,female,-1,-1,-3,-3
11,m8,a,male,0,0,-2,-4
11,m5,o,male,-1,-1,-3,-4
11,m1,i,male,-1,-1,-3,-3
11,f5,a,female,0,-2,-3,-3
11,f1,o,female,0,-2,-2,-2
11,m5,i,male,-3,-2,-4,-3
11,f4,o,female,-1,-3,-3,-4
11,f6,a,female,1,-2,-3,-3
11,m2,a,male,0,-2,-1,-3
11,f5,i,female,0,-1,-3,-2
11,f6,i,female,-1,-1,-1,-2
11,m2,o,male,0,-1,-2,-3
11,f1,i,female,0,-1,-3,-4
11,f8,o,female,-1,-1,-2,-4
11,f8,a,female,-2,-2,-3,-4
11,m4,o,male,-1,-2,-1,-4
11,m1,a,male,1,-1,0,-4
11,m2,i,male,1,-2,-2,-4
11,m4,a,male,-1,-2,-2,-4
11,m8,i,male,-1,-1,-2,-3
11,m4,i,male,1,-2,-3,-3
11,m5,a,male,-1,-4,-3,-4
11,f6,o,female,0,-3,-3,-3
11,m1,o,male,0,0,-4,-4
11,f8,i,female,-1,-1,-2,-4
11,f4,a,female,0,-2,-3,-3
11,f1,a,female,0,-2,-3,-4
11,f4,i,female,0,-3,-3,-4
11,m8,o,male,-4,-3,-3,-4
11,f5,o,female,0,-4,-3,-4
12,f1,a,female,0,-4,-3,-3
12,f5,o,female,-4,-2,-4,-3
12,m1,o,male,0,-4,-4,-4
12,f4,i,female,3,0,-3,-3
12,f8,a,female,0,-4,-4,-4
12,m4,o,male,0,-4,-4,-4
12,f6,a,female,1,-3,-3,-3
12,m2,o,male,-1,-4,-4,-4
12,f5,a,female,0,-4,-4,-4
12,m1,i,male,0,-3,-3,-2
12,m1,a,male,0,-3,1,-4
12,f8,o,female,-1,-3,-1,-3
12,f1,o,female,0,-4,-2,-2
12,m5,a,male,0,-3,-3,-3
12,m4,a,male,0,-3,-3,-3
12,m5,o,male,0,-2,-2,-2
12,f6,o,female,-4,-4,-4,-3
12,m5,i,male,-3,-2,-4,-4
12,f8,i,female,-2,-4,-3,-4
12,f6,i,female,0,-3,-3,-3
12,m2,a,male,0,-4,-3,-4
12,f4,a,female,0,-3,-4,-2
12,m8,o,male,0,-4,-3,-4
12,f1,i,female,0,-4,1,-4
12,f5,i,female,0,-2,-3,-4
12,f4,o,female,0,-2,-2,-3
12,m8,i,male,0,-2,-3,-3
12,m2,i,male,0,-3,-3,-4
12,m8,a,male,0,-2,-4,-3
12,m4,i,male,0,-3,-3,-4
13,m2,i,male,-1,-1,-2,-4
13,m4,a,male,-1,-2,-3,-4
13,f6,i,female,1,-1,-3,-2
13,f5,a,female,0,-4,-4,-4
13,m5,i,male,-3,-3,-3,-4
13,m4,o,male,-1,-1,-3,-4
13,f4,a,female,2,-3,-3,-2
13,m1,a,male,2,2,-2,-3
13,m8,a,male,-1,-2,-3,-3
13,f6,o,female,0,-2,-3,-1
13,f8,i,female,1,-2,-2,-2
