ID,SID,Gender,Vowel,Condition,Rating
6,f6,female,i,harmonic,-14
6,f8,female,o,harmonic,7
6,m1,male,i,harmonic,6
6,f6,female,o,harmonic,16
6,m8,male,a,harmonic,17
6,f5,female,o,harmonic,7
6,f5,female,a,harmonic,-20
6,f1,female,o,harmonic,-16
6,m4,male,i,harmonic,-34
6,f1,female,i,harmonic,-2
6,f4,female,a,harmonic,-41
6,m1,male,o,harmonic,-1
6,f1,female,a,harmonic,-31
6,m8,male,i,harmonic,1
7,m5,male,i,harmonic,-34
7,m1,male,o,harmonic,1
7,m8,male,o,harmonic,-11
7,f4,female,i,harmonic,8
7,m2,male,i,harmonic,12
7,f4,female,a,harmonic,-47
7,f6,female,o,harmonic,-42
7,f4,female,o,harmonic,-52
7,m8,male,i,harmonic,10
7,m1,male,a,harmonic,-29
7,f1,female,a,harmonic,-68
7,m2,male,a,harmonic,0
7,f1,female,i,harmonic,0
7,f8,female,a,harmonic,33
7,m5,male,o,harmonic,-19
7,m8,male,a,harmonic,-20
7,f8,female,i,harmonic,0
7,m1,male,i,harmonic,-56
7,f6,female,i,harmonic,16
7,f5,female,o,harmonic,-46
7,f6,female,a,harmonic,-30
7,f1,female,o,harmonic,-77
7,m4,male,a,harmonic,0
7,f8,female,o,harmonic,-34
7,f5,female,i,harmonic,0
7,m2,male,o,harmonic,0
7,f5,female,a,harmonic,-52
7,m5,male,a,harmonic,-12
7,m4,male,i,harmonic,-44
7,m4,male,o,harmonic,-74
8,f6,female,a,harmonic,-12
8,m8,male,i,harmonic,-32
8,m1,male,a,harmonic,0
8,m5,male,o,harmonic,-20
8,f1,female,a,harmonic,-75
8,m1,male,o,harmonic,-38
8,m4,male,i,harmonic,-20
8,f8,female,i,harmonic,0
8,f6,female,o,harmonic,-36
8,f1,female,o,harmonic,-42
8,f8,female,o,harmonic,-27
8,m4,male,o,harmonic,-44
8,f1,female,i,harmonic,-20
8,m8,male,a,harmonic,0
8,m2,male,i,harmonic,-18
8,f5,female,o,harmonic,-45
8,m5,male,a,harmonic,0
8,m2,male,o,harmonic,0
8,f5,female,a,harmonic,0
8,f6,female,i,harmonic,-29
8,f4,female,i,harmonic,-17
8,m4,male,a,harmonic,-13
8,f5,female,i,harmonic,17
8,m1,male,i,harmonic,-21
8,m8,male,o,harmonic,-11
8,f4,female,a,harmonic,-9
8,m5,male,i,harmonic,-42
8,f8,female,a,harmonic,-15
8,m2,male,a,harmonic,-8
8,f4,female,o,harmonic,-53
9,m5,male,i,harmonic,-43
9,m8,male,o,harmonic,-6
9,f6,female,i,harmonic,-42
9,f1,female,i,harmonic,-19
9,f1,female,a,harmonic,-40
9,m2,male,a,harmonic,-16
9,f8,female,o,harmonic,14
9,f4,female,o,harmonic,-28
9,m4,male,a,harmonic,9
9,m5,male,a,harmonic,-26
9,f6,female,a,harmonic,-11
9,m1,male,o,harmonic,-37
9,f4,female,i,harmonic,-37
9,f5,female,i,harmonic,0
9,f4,female,a,harmonic,5
9,m2,male,i,harmonic,-9
9,m1,male,a,harmonic,-10
9,f5,female,a,harmonic,-15
9,m4,male,i,harmonic,-10
9,m8,male,a,harmonic,0
9,f1,female,o,harmonic,-29
9,f5,female,o,harmonic,6
9,m5,male,o,harmonic,0
9,f8,female,i,harmonic,3
9,m2,male,o,harmonic,2
9,m8,male,i,harmonic,7
9,m4,male,o,harmonic,-19
9,m1,male,i,harmonic,-48
9,f6,female,o,harmonic,30
9,f8,female,a,harmonic,-23
10,m5,male,o,harmonic,-40
10,m8,male,a,harmonic,-30
10,f8,female,i,harmonic,-30
10,m1,male,a,harmonic,-30
10,f6,female,o,harmonic,-30
10,f5,female,i,harmonic,0
10,f8,female,o,harmonic,-50
10,f5,female,a,harmonic,-30
10,f5,female,o,harmonic,-30
10,m4,male,a,harmonic,-50
10,f4,female,o,harmonic,-30
10,f1,female,o,harmonic,-50
10,m2,male,i,harmonic,-30
10,m5,male,a,harmonic,-30
10,m2,male,o,harmonic,-50
10,m8,male,i,harmonic,-30
10,f1,female,i,harmonic,-31
10,f4,female,i,harmonic,-50
10,f8,female,a,harmonic,-49
10,f4,female,a,harmonic,-50
