ID,SID,Gender,Vowel,Condition,Rating
2,f5,female,a,anchor,-54
2,m2,male,a,anchor,-37
2,m1,male,o,anchor,18
2,f1,female,i,anchor,-79
2,m4,male,o,anchor,-61
2,f6,female,a,anchor,19
2,f5,female,i,anchor,-40
2,f8,female,i,anchor,-39
2,m5,male,i,anchor,3
2,m8,male,o,anchor,-22
2,m5,male,a,anchor,0
2,f4,female,a,anchor,3
2,m1,male,a,anchor,55
2,m2,male,i,anchor,-40
2,f6,female,o,anchor,-30
2,m8,male,a,anchor,38
2,m4,male,i,anchor,34
2,f4,female,i,anchor,13
2,f4,female,o,anchor,37
2,f8,female,o,anchor,-55
2,f8,female,a,anchor,57
2,f1,female,o,anchor,-22
2,m1,male,i,anchor,6
2,m2,male,o,anchor,-39
3,f6,female,o,anchor,-77
3,m8,male,a,anchor,-94
3,f6,female,i,anchor,-90
3,m4,male,a,anchor,-88
3,f8,female,a,anchor,-63
3,f1,female,i,anchor,-75
3,f8,female,i,anchor,-75
3,f5,female,o,anchor,-52
3,m2,male,i,anchor,32
3,f1,female,o,anchor,-82
3,m5,male,i,anchor,-32
3,m4,male,o,anchor,-37
3,m2,male,o,anchor,-17
3,m8,male,o,anchor,-79
3,f4,female,i,anchor,-79
3,m1,male,i,anchor,-62
3,m5,male,o,anchor,-77
3,f5,female,a,anchor,-77
3,f4,female,a,anchor,-79
3,m5,male,a,anchor,-45
3,m2,male,a,anchor,-28
3,f5,female,i,anchor,-35
3,f1,female,a,anchor,-76
3,f8,female,o,anchor,-30
3,f4,female,o,anchor,-37
3,m1,male,a,anchor,-22
3,m8,male,i,anchor,-55
3,m4,male,i,anchor,40
3,m1,male,o,anchor,-20
3,f6,female,a,anchor,-85
4,m8,male,i,anchor,-65
4,m4,male,i,anchor,-83
4,f6,female,a,anchor,-80
4,m8,male,o,anchor,-59
4,f4,female,i,anchor,-83
4,m1,male,o,anchor,-86
4,f1,female,o,anchor,-83
4,f4,female,o,anchor,-53
4,m1,male,i,anchor,-79
4,f1,female,a,anchor,-87
4,m8,male,a,anchor,-20
4,m2,male,i,anchor,-55
4,f8,female,o,anchor,-76
4,f5,female,a,anchor,-75
4,m5,male,i,anchor,-83
4,f8,female,a,anchor,-60
4,m5,male,a,anchor,-87
4,f6,female,i,anchor,-81
